PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
0001_01,Europa,FALSE,B/0/P,Andromeda,39,FALSE,0,0,0,0,0,Maham Ofracculy,FALSE
0002_01,Earth,FALSE,F/0/S,Andromeda,24,FALSE,109,9,25,549,44,Juanna Vines,TRUE
0003_01,Europa,FALSE,A/0/S,Andromeda,58,TRUE,43,3576,0,6715,49,Altark Susent,FALSE
0003_02,Europa,FALSE,A/0/S,Andromeda,33,FALSE,0,1283,371,3329,193,Solam Susent,FALSE
0004_01,Earth,FALSE,F/1/S,Andromeda,16,FALSE,303,70,151,565,2,Willy Santantines,TRUE
0005_01,Earth,FALSE,F/0/P,Cygnus,44,FALSE,0,483,0,291,0,Sandie Hinetthews,TRUE
0006_01,Earth,FALSE,F/2/S,Andromeda,26,FALSE,42,1539,3,0,0,Billex Jacostaffey,TRUE
0006_02,Earth,TRUE,G/0/S,Andromeda,28,FALSE,0,0,0,0,0,Candra Jacostaffey,TRUE
0007_01,Earth,FALSE,F/3/S,Andromeda,35,FALSE,0,785,17,216,0,Andona Beston,TRUE
0008_01,Europa,TRUE,B/1/P,Virgo,14,FALSE,0,0,0,0,0,Erraiam Flatic,TRUE
0008_02,Europa,TRUE,B/1/P,Andromeda,34,FALSE,0,0,0,0,0,Altardr Flatic,TRUE
0008_03,Europa,FALSE,B/1/P,Virgo,45,FALSE,39,7295,589,110,124,Wezena Flatic,TRUE
0009_01,Mars,FALSE,F/1/P,Andromeda,32,FALSE,73,0,1123,0,113,Berers Barne,TRUE
0010_01,Earth,FALSE,G/1/S,Andromeda,48,FALSE,719,1,65,0,24,Reney Baketton,FALSE
0011_01,Earth,FALSE,F/2/P,Andromeda,28,FALSE,8,974,12,2,7,Elle Bertsontry,TRUE
0012_01,Earth,FALSE,G/734/S,Andromeda,31,FALSE,32,0,876,0,0,Justie Pooles,FALSE
0014_01,Mars,FALSE,F/3/P,Virgo,27,FALSE,1286,122,0,0,0,Flats Eccle,FALSE
0015_01,Earth,FALSE,F/4/P,Virgo,24,FALSE,0,1,0,0,637,Carry Hughriend,FALSE
0016_01,Mars,TRUE,F/5/P,Andromeda,45,FALSE,0,0,0,0,0,Alus Upead,TRUE
0017_01,Earth,FALSE,G/0/P,Andromeda,0,FALSE,0,0,0,0,0,Lyde Brighttt,TRUE
0017_02,Earth,FALSE,F/6/P,Virgo,14,FALSE,412,0,1,0,679,Philda Brighttt,FALSE
0020_01,Earth,TRUE,E/0/S,Andromeda,1,FALSE,0,0,0,0,0,Almary Brantuarez,FALSE
0020_02,Earth,TRUE,E/0/S,Virgo,49,FALSE,0,0,0,0,0,Glendy Brantuarez,FALSE
0020_03,Earth,TRUE,E/0/S,Virgo,29,FALSE,0,0,0,0,0,Mollen Mcfaddennon,FALSE
0020_04,Earth,FALSE,E/0/S,Andromeda,10,FALSE,0,0,0,0,0,Breney Jacostanley,TRUE
0020_05,Earth,TRUE,E/0/S,Cygnus,1,FALSE,0,0,0,0,0,Mael Brantuarez,FALSE
0020_06,Earth,FALSE,E/0/S,Andromeda,7,FALSE,0,0,0,0,0,Terta Mcfaddennon,FALSE
0022_01,Mars,FALSE,D/0/P,Andromeda,21,FALSE,980,2,69,0,0,Alraium Disivering,FALSE
0024_01,Europa,TRUE,C/2/S,Andromeda,62,FALSE,0,0,0,0,0,Penton Fullided,TRUE
0025_01,Earth,FALSE,F/6/S,Andromeda,15,FALSE,0,225,0,998,0,Karard Brookenson,FALSE
0026_01,Europa,FALSE,C/0/P,Virgo,34,FALSE,22,6073,0,1438,328,Anyoni Unconary,FALSE
0028_01,Mars,FALSE,F/8/P,Andromeda,43,FALSE,1125,0,136,48,0,Ceros Mare,FALSE
0030_01,Earth,FALSE,G/4/S,Andromeda,32,FALSE,0,850,81,437,453,Ginia Morsentley,FALSE
0031_01,Mars,FALSE,F/9/P,Andromeda,47,FALSE,214,0,1411,0,1229,Coobix Datie,TRUE
0031_02,Mars,FALSE,F/9/P,Andromeda,2,FALSE,0,0,0,0,0,Cinets Datie,TRUE
0031_03,Mars,FALSE,F/9/P,Andromeda,20,FALSE,0,0,1750,990,0,Dontch Datie,TRUE
0034_01,Europa,TRUE,D/1/S,Virgo,28,FALSE,0,0,0,0,0,Ziba Oingwhedly,TRUE
0035_01,Mars,FALSE,D/1/P,Virgo,23,FALSE,784,964,0,951,0,Luse Butte,FALSE
0036_01,Earth,FALSE,F/8/S,Virgo,15,FALSE,0,492,48,20,401,Marina Leodger,FALSE
0038_01,Earth,FALSE,F/10/S,Virgo,20,FALSE,554,195,0,2606,0,Loise Wheelez,FALSE
0039_01,Earth,TRUE,G/1/P,Virgo,30,FALSE,0,0,0,0,0,Jorgie Batthewitt,FALSE
0041_01,Earth,TRUE,G/2/P,Andromeda,17,FALSE,0,0,0,0,0,Margia Moodsey,TRUE
0043_01,Europa,FALSE,B/3/P,Andromeda,45,FALSE,0,164,45,2511,855,Ankalik Cylistrand,FALSE
0044_01,Earth,TRUE,G/3/P,Andromeda,55,FALSE,0,0,0,0,0,Jodye Coopelandez,FALSE
0044_02,Earth,TRUE,G/3/P,Virgo,4,FALSE,0,0,0,0,0,Kayne Coopelandez,TRUE
0044_03,Earth,TRUE,G/3/P,Cygnus,21,FALSE,0,0,0,0,0,Cassa Coopelandez,TRUE
